,link,title,prices,location,type,area,dates
19,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-prasun-dham-thergaon-pune-650-sq-ft-spid-S37461723,1 BHK Residential Apartment for rent in Thergaon,"₹ 12,500 /monthDeposit ₹ 35000",Prasun Dham,1 BHK1 Bath,650 sq.ft. (60 sq.m.) Super built-up Area,not give
20,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-natraj-vela-enclave-kutwal-colony-pune-615-sq-ft-spid-T56560566,2 BHK Residential Apartment for rent in Kutwal Colony,"₹ 16,500 /monthDeposit ₹ 50000",Natraj Vela Enclave,2 BHK2 Baths,615 sq.ft. (57 sq.m.) Carpet Area,not give
21,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-kothrud-600-sq-ft-spid-E56560456,1 BHK Residential Apartment for rent in Dhanukar Colony,"₹ 14,000 /monthDeposit ₹ 30000",Kothrud,1 BHK1 Bath,600 sq.ft. (56 sq.m.) Carpet Area,not give
22,https://www.99acres.com/1-bhk-bedroom-independent-house-for-rent-in-sant-nagar-pune-500-sq-ft-spid-N44847839,1 Bedroom Independent House for rent in Sant Nagar,"₹ 5,000 /monthDeposit ₹ 10000",,1 BHK1 Bath,1 sq.ft. (0 sq.m.) Plot Area,not give
23,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-rent-in-amanora-future-towers-hadapsar-pune-1650-sq-ft-spid-W56560248,3 BHK Residential Apartment for rent in Hadapsar,"₹ 44,000 /monthDeposit ₹ 100000",Amanora Future Towers,3 BHK2 Baths,"1,650 sq.ft. (153 sq.m.) Super built-up Area",not give
24,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-morya-darshan-sutarwadi-pune-800-sq-ft-spid-R56560208,1 BHK Residential Apartment for rent in Sutarwadi,"₹ 13,000 /monthDeposit ₹ 30000",Morya Darshan,1 BHK1 Bath,800 sq.ft. (74 sq.m.) Built-up Area,not give
25,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-morya-darshan-sutarwadi-pune-800-sq-ft-spid-H81181440,1 BHK Residential Apartment for rent in Sutarwadi,"₹ 13,000 /monthDeposit ₹ 30000",Morya Darshan,1 BHK1 Bath,800 sq.ft. (74 sq.m.) Built-up Area,not give
0,https://www.99acres.com/1-bhk-bedroom-builder-floor-for-rent-in-ambegaon-pathar-pune-500-sq-ft-spid-X48059337,1 BHK Independent Builder Floor for rent in Ambegaon Pathar,"₹ 8,000 /monthDeposit ₹ 20000",,1 BHK1 Bath,500 sq.ft. (46 sq.m.) Built-up Area,not give
1,https://www.99acres.com/3-bhk-bedroom-independent-house-for-rent-in-35000-sq-ft-spid-H56559874,3 Bedroom Independent House for rent in wadgoan sheri,"₹ 30,000 /monthDeposit ₹ 120000",,3 BHK3 Baths,"35,000 sq.ft. (3252 sq.m.) Plot Area",not give
2,https://www.99acres.com/1-bhk-bedroom-independent-house-for-rent-in-kanifnath-colony-pune-200-sq-ft-spid-Q52816240,1 Bedroom Independent House for rent in Kanifnath Colony,"₹ 4,000 /monthDeposit ₹ 10000",,1 BHK1 Bath,200 sq.ft. (19 sq.m.) Carpet Area,not give
3,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-indai-nivas-keshav-nagar-350-sq-ft-spid-J56559800,1 BHK Residential Apartment for rent in keshav nagar mundhwa,"₹ 6,000 /monthDeposit ₹ 20000",indai nivas keshav nagar ,1 BHK1 Bath,350 sq.ft. (33 sq.m.) Carpet Area,not give
